source_paper,cited_by
10.1038/s41467-020-14454-2,10.1088/2058-9565/ab4eb5
10.1007/978-3-030-22368-7_26,10.1007/s10851-019-00915-x
10.5220/0007581508300836,10.1007/s11063-021-10490-1
10.1002/sam.11461,10.1016/j.eswa.2020.113680
10.1016/j.sigpro.2020.107486,10.1109/TCI.2020.3006718
10.1109/LCSYS.2019.2921158,10.1109/TAC.2022.3159453
10.1109/LCSYS.2019.2921158,10.1109/TAC.2021.3112851
10.1109/ACCESS.2019.2903130,10.1109/ACCESS.2019.2925569
10.1039/C9ME00039A,10.1088/2632-2153/aba947
10.1109/PRIA.2019.8786013,10.1016/j.eswa.2019.03.040
10.1109/PRIA.2019.8786013,10.1109/PRIA.2019.8785979
10.1016/j.eswa.2019.03.040,10.1109/PRIA.2019.8785979
10.1016/j.eswa.2019.03.040,10.1109/PRIA.2019.8786013
10.1109/IJCNN.2019.8852316,10.1109/IJCNN.2019.8851936
10.1109/IJCNN.2019.8851936,10.1109/IJCNN.2019.8852316
10.1109/CDC40024.2019.9029226,10.1109/IROS40897.2019.8967820
10.1137/20M1336072,10.1073/pnas.1907378117
10.1007/s41109-019-0162-z,10.1093/comnet/cnz043
10.1016/j.inffus.2017.07.001,10.1109/TETCI.2023.3268707
10.1109/TSP.2019.2952046,10.1109/LSP.2019.2913022
10.1109/ACCESS.2021.3119000,10.1016/j.asoc.2020.106432
10.1109/MSP.2019.2951469,10.1109/JPROC.2019.2936204
10.1109/LSP.2019.2906826,10.1109/TBME.2019.2908099
10.1007/s41109-019-0195-3,10.1613/jair.1.13225
10.1109/TKDE.2021.3079836,10.13140/RG.2.2.10091.59687
10.1109/TSP.2019.2955832,10.1109/TSP.2020.3026980
10.1038/s41534-020-00288-9,10.1088/2058-9565/ab4eb5
10.1109/JPROC.2019.2936204,10.1038/s41597-019-0235-y
10.1109/ACCESS.2019.2916341,10.1016/j.automatica.2020.109127
10.1109/TIP.2015.2421309,10.1109/TIP.2015.2495116
10.1109/TNNLS.2013.2238682,10.1109/TIP.2015.2495116
10.1109/TNNLS.2013.2238682,10.1109/TIP.2015.2421309
10.1109/TNNLS.2017.2750321,10.1109/TPAMI.2018.2824309
10.1109/TIP.2015.2495116,10.1109/TNNLS.2017.2750321
10.1007/s11222-020-09946-6,10.1007/s41109-019-0232-2
10.1145/2020408.2020589,10.1007/s10618-013-0327-9
10.1007/s10618-011-0232-z,10.1007/s10618-013-0327-9
10.1007/s10618-011-0232-z,10.1145/2020408.2020589
10.1145/3308558.3313668,10.1145/3308558.3313660
10.1145/3308558.3313668,10.1613/jair.1.13225
10.1007/s42484-021-00047-9,10.1103/PhysRevA.100.052327
10.1109/ICASSP.2019.8683438,10.1109/ICASSP.2019.8682510
10.1109/ICASSP.2019.8683438,10.1109/ICASSP.2019.8683486
10.1109/ICASSP.2019.8683486,10.1109/ICASSP.2019.8682510
10.1109/ICASSP.2019.8683486,10.1109/ICASSP.2019.8683438
10.1109/ICASSP.2019.8682488,10.1109/ICASSP.2019.8682510
10.1109/ICASSP.2019.8682488,10.1109/ICASSP.2019.8683486
10.1109/ICASSP.2019.8682510,10.1109/ICASSP.2019.8682488
10.1109/ICASSP.2019.8682510,10.1109/ICASSP.2019.8683438
10.1109/ICASSP.2019.8682510,10.1109/ICASSP.2019.8683486
10.1126/sciadv.aay6946,10.1117/1.AP.1.4.046001
10.1109/TGRS.2018.2828161,10.1109/TGRS.2019.2951433
10.1109/IPDPSW.2019.00051,10.1007/s10994-022-06266-w
10.1109/TLA.2015.7350026,10.3390/designs1010007
10.1016/j.cirpj.2019.11.003,10.1007/s00170-021-08242-5
10.1145/3292500.3330691,10.1145/3351095.3372828
10.1145/3308558.3313660,10.1145/3308558.3313668
10.1016/j.jcp.2020.109338,10.1016/j.jcp.2020.109309
10.1016/j.jcp.2020.109338,10.1016/j.jcp.2019.109119
10.1109/TVCG.2019.2934433,10.1109/TVCG.2019.2934251
10.1016/j.scico.2020.102450,10.1016/j.neunet.2022.03.022
10.1109/TSP.2020.3026980,10.1109/TSP.2019.2955832
10.1145/3308558.3314139,10.1145/3357384.3357902
10.18653/v1/P19-1191,10.1073/pnas.1914370116
10.1007/978-3-030-01418-6_48,10.1088/2632-2153/ab81e2
10.1007/s00170-021-08242-5,10.1016/j.cirpj.2019.11.003
10.1145/3219819.3219962,10.1145/3292500.3330900
10.1145/3219819.3219962,10.1145/3292500.3330922
10.1109/ICMIM.2019.8726801,10.23919/IRS.2019.8768169
10.1109/IVS.2018.8500607,10.1109/IVS.2019.8813773
10.1109/IVS.2018.8500607,10.1109/ICMIM.2019.8726801
10.1016/j.automatica.2020.109127,10.1109/TSP.2023.3267992
10.1103/PhysRevA.100.052327,10.1007/s42484-021-00047-9
10.1016/j.jcp.2019.109119,10.1016/j.jcp.2020.109309
10.3390/e21070627,10.1016/j.jcp.2020.109309
10.1088/2058-9565/ab4eb5,10.1007/s42484-021-00047-9
10.1088/2058-9565/ab4eb5,10.1103/PhysRevLett.128.110501
10.1088/2058-9565/ab4eb5,10.1038/s41534-020-00288-9
10.1088/2632-2153/ab81e2,10.1038/s41598-020-65261-0
10.21437/Interspeech.2019-2454,10.1109/TASLP.2021.3104193
10.1145/3308558.3313446,10.1145/3292500.3330964
10.1145/3292500.3330905,10.1109/TSP.2020.3026980
10.1609/aaai.v33i01.33014755,10.1613/jair.1.12904
10.1109/IJCNN.2018.8489675,10.1109/IJCNN.2019.8851839
